Country Name,Country Code,2018
Aruba,ABW,76.072
Africa Eastern and Southern,AFE,63.36585795
Afghanistan,AFG,63.081
Africa Western and Central,AFW,57.18913927
Angola,AGO,62.144
Albania,ALB,79.184
Andorra,AND,
Arab World,ARB,71.63301665
United Arab Emirates,ARE,79.627
Argentina,ARG,76.999
Armenia,ARM,75.064
American Samoa,ASM,
Antigua and Barbuda,ATG,78.511
Australia,AUS,82.74878049
Austria,AUT,81.69268293
Azerbaijan,AZE,72.76
Burundi,BDI,61.688
Belgium,BEL,81.59512195
Benin,BEN,60.14
Burkina Faso,BFA,60.047
Bangladesh,BGD,72.567
Bulgaria,BGR,74.96341463
Bahrain,BHR,79.857
"Bahamas, The",BHS,73.806
Bosnia and Herzegovina,BIH,77.093
Belarus,BLR,74.17560976
Belize,BLZ,73.703
Bermuda,BMU,80.825
Bolivia,BOL,67.748
Brazil,BRA,75.109
Barbados,BRB,77.067
Brunei Darussalam,BRN,74.712
Bhutan,BTN,71.129
Botswana,BWA,65.422
Central African Republic,CAF,54.369
Canada,CAN,81.84390244
Central Europe and the Baltics,CEB,76.97682268
Switzerland,CHE,83.75365854
Channel Islands,CHI,81.375
Chile,CHL,80.133
China,CHN,77.744
Cote d'Ivoire,CIV,58.849
Cameroon,CMR,61.18
"Congo, Dem. Rep.",COD,59.942
"Congo, Rep.",COG,64.053
Colombia,COL,76.748
Comoros,COM,63.912
Cabo Verde,CPV,75.733
Costa Rica,CRI,79.484
Caribbean small states,CSS,72.58368687
Cuba,CUB,77.496
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,81.382
Czechia,CZE,79.02926829
Germany,DEU,80.89268293
Djibouti,DJI,63.038
Dominica,DMA,73.59
Denmark,DNK,80.95365854
Dominican Republic,DOM,73.232
Algeria,DZA,76.066
East Asia & Pacific (excluding high income),EAP,75.80143372
Early-demographic dividend,EAR,70.79770566
East Asia & Pacific,EAS,76.59417271
Europe & Central Asia (excluding high income),ECA,73.60952651
Europe & Central Asia,ECS,77.91145458
Ecuador,ECU,77.094
"Egypt, Arab Rep.",EGY,71.367
Euro area,EMU,82.05155281
Eritrea,ERI,67.067
Spain,ESP,83.43170732
Estonia,EST,78.24390244
Ethiopia,ETH,65.412
European Union,EUU,81.028729
Fragile and conflict affected situations,FCS,61.96927474
Finland,FIN,81.73414634
Fiji,FJI,67.81
France,FRA,82.67560976
Faroe Islands,FRO,82.59512195
"Micronesia, Fed. Sts.",FSM,71.318
Gabon,GAB,66.306
United Kingdom,GBR,81.25609756
Georgia,GEO,73.341
Ghana,GHA,64.122
Gibraltar,GIB,82.154
Guinea,GIN,59.349
"Gambia, The",GMB,63.04
Guinea-Bissau,GNB,60.502
Equatorial Guinea,GNQ,61.191
Greece,GRC,81.78780488
Grenada,GRD,74.808
Greenland,GRL,71.88658537
Guatemala,GTM,72.726
Guam,GUM,77.439
Guyana,GUY,68.896
High income,HIC,80.77662793
"Hong Kong SAR, China",HKG,84.93414634
Honduras,HND,72.814
Heavily indebted poor countries (HIPC),HPC,62.94757595
Croatia,HRV,78.07073171
Haiti,HTI,64.019
Hungary,HUN,76.06585366
IBRD only,IBD,73.9337095
IDA & IBRD total,IBT,71.32245769
IDA total,IDA,63.88195354
IDA blend,IDB,61.07731953
Indonesia,IDN,70.338
IDA only,IDX,65.27719306
Isle of Man,IMN,80.596
India,IND,70.71
Not classified,INX,
Ireland,IRL,82.20487805
"Iran, Islamic Rep.",IRN,76.195
Iraq,IRQ,71.514
Iceland,ISL,82.86097561
Israel,ISR,82.80243902
Italy,ITA,83.34634146
Jamaica,JAM,71.793
Jordan,JOR,75.774
Japan,JPN,84.21097561
Kazakhstan,KAZ,73.15
Kenya,KEN,62.676
Kyrgyz Republic,KGZ,71.4
Cambodia,KHM,70.561
Kiribati,KIR,66.855
St. Kitts and Nevis,KNA,71.467
"Korea, Rep.",KOR,82.62682927
Kuwait,KWT,79.722
Latin America & Caribbean (excluding high income),LAC,74.76398728
Lao PDR,LAO,67.634
Lebanon,LBN,79.729
Liberia,LBR,60.853
Libya,LBY,72.794
St. Lucia,LCA,73.357
Latin America & Caribbean,LCN,74.85149878
Least developed countries: UN classification,LDC,64.81849985
Low income,LIC,62.72490186
Liechtenstein,LIE,83.04146341
Sri Lanka,LKA,75.748
Lower middle income,LMC,69.11326672
Low & middle income,LMY,71.25174265
Lesotho,LSO,53.733
Late-demographic dividend,LTE,76.7706344
Lithuania,LTU,75.6804878
Luxembourg,LUX,82.29512195
Latvia,LVA,74.78292683
"Macao SAR, China",MAC,84.928
St. Martin (French part),MAF,80.614
Morocco,MAR,73.986
Monaco,MCO,
Moldova,MDA,70.492
Madagascar,MDG,65.27
Maldives,MDV,80.013
Middle East & North Africa,MEA,73.81151713
Mexico,MEX,74.015
Marshall Islands,MHL,64.5
Middle income,MIC,72.21292159
North Macedonia,MKD,76.64878049
Mali,MLI,59.393
Malta,MLT,82.44878049
Myanmar,MMR,66.465
Middle East & North Africa (excluding high income),MNA,72.98437342
Montenegro,MNE,76.84146341
Mongolia,MNG,71.199
Northern Mariana Islands,MNP,
Mozambique,MOZ,60.526
Mauritania,MRT,65.31
Mauritius,MUS,74.41634146
Malawi,MWI,63.276
Malaysia,MYS,75.644
North America,NAC,78.9657813
Namibia,NAM,62.586
New Caledonia,NCL,80.00309756
Niger,NER,62.454
Nigeria,NGA,52.554
Nicaragua,NIC,73.85
Netherlands,NLD,81.81219512
Norway,NOR,82.75853659
Nepal,NPL,68.979
Nauru,NRU,63.234
New Zealand,NZL,81.70731707
OECD members,OED,80.00903703
Oman,OMN,77.966
Other small states,OSS,68.49624095
Pakistan,PAK,66.482
Panama,PAN,77.863
Peru,PER,76.009
Philippines,PHL,71.689
Palau,PLW,
Papua New Guinea,PNG,65.182
Poland,POL,77.60243902
Pre-demographic dividend,PRE,60.35483878
Puerto Rico,PRI,79.77
"Korea, Dem. People's Rep.",PRK,73.031
Portugal,PRT,81.32439024
Paraguay,PRY,73.568
West Bank and Gaza,PSE,74.793
Pacific island small states,PSS,69.21374829
Post-demographic dividend,PST,80.67112754
French Polynesia,PYF,82.783
Qatar,QAT,80.898
Romania,ROU,75.35853659
Russian Federation,RUS,72.66219512
Rwanda,RWA,66.251
South Asia,SAS,70.25347861
Saudi Arabia,SAU,77.212
Sudan,SDN,65.681
Senegal,SEN,68.097
Singapore,SGP,83.29756098
Solomon Islands,SLB,70.173
Sierra Leone,SLE,59.796
El Salvador,SLV,72.555
San Marino,SMR,
Somalia,SOM,56.375
Serbia,SRB,75.8902439
Sub-Saharan Africa (excluding high income),SSA,60.86196303
South Sudan,SSD,55.95
Sub-Saharan Africa,SSF,60.86302414
Small states,SST,69.26890083
Sao Tome and Principe,STP,68.355
Suriname,SUR,72.553
Slovak Republic,SVK,77.26585366
Slovenia,SVN,81.37804878
Sweden,SWE,82.55853659
Eswatini,SWZ,59.411
Sint Maarten (Dutch part),SXM,75.131
Seychelles,SYC,72.84146341
Syrian Arab Republic,SYR,70.145
Turks and Caicos Islands,TCA,76.443
Chad,TCD,52.825
East Asia & Pacific (IDA & IBRD countries),TEA,75.83569328
Europe & Central Asia (IDA & IBRD countries),TEC,74.05321845
Togo,TGO,60.244
Thailand,THA,78.662
Tajikistan,TJK,70.353
Turkmenistan,TKM,68.796
Latin America & the Caribbean (IDA & IBRD countries),TLA,74.77648839
Timor-Leste,TLS,68.017
Middle East & North Africa (IDA & IBRD countries),TMN,72.96338906
Tonga,TON,70.779
South Asia (IDA & IBRD),TSA,70.25347861
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.86302414
Trinidad and Tobago,TTO,73.802
Tunisia,TUN,75.95
Turkiye,TUR,77.563
Tuvalu,TUV,64.212
Tanzania,TZA,66.535
Uganda,UGA,62.714
Ukraine,UKR,71.58268293
Upper middle income,UMC,76.31722342
Uruguay,URY,77.611
United States,USA,78.63902439
Uzbekistan,UZB,71.149
St. Vincent and the Grenadines,VCT,74.128
"Venezuela, RB",VEN,71.979
British Virgin Islands,VGB,75.831
Virgin Islands (U.S.),VIR,79.5195122
Vietnam,VNM,73.976
Vanuatu,VUT,69.795
World,WLD,72.7840895
Samoa,WSM,72.636
Kosovo,XKX,78.696
"Yemen, Rep.",YEM,64.575
South Africa,ZAF,65.674
Zambia,ZMB,62.342
Zimbabwe,ZWE,61.414
